arm,pre_q_original,post_q_original,pre_q,post_q
arch_strong,"It appears to be an older house. Colonial style, perhaps. The landscaping doesn't seem mature, though. There are two bay windows in the front. Dual chimneys.",Typical of early British colonial dwellings in what would become the United States. The symmetry of the house is one clue. Also the multi-paned windows is another. The small roof over the door is yet another clue.,"it appear to be a old house. colonial style, perhaps. the landscape doesn't seem mature, though. there be two bay window in the front. dual chimney.",typical of early british colonial dwell in what would become the unite state. the symmetry of the house be one clue. also the multi - paned window be another. the small roof over the door be yet another clue.
arch_strong,It's a brick home with bay windows.  It appears to be two or three stories.  It has nice curb appeal because the landscaping is nice.  It appears to have at least two fireplaces.,The house looks very symmetrical. It has a lot of windows and a brick composition.  It has at least two fireplaces.  It has protruding windows on the roof.,it's a brick home with bay window. it appear to be two or three story. it have nice curb appeal because the landscape be nice. it appear to have at little two fireplace.,the house look very symmetrical. it have a lot of window and a brick composition. it have at little two fireplace. it have protrude window on the roof.
arch_strong,The house is a three-story home with brick exterior.  Front rooms feature bay windows.  Home has two fireplaces.  Roof needs upkeep.,Georgian home with brick walls.  Has multi-pane windows and roof with Dormers. There is a transom window over the front door.  Home is surrounded by iron fencing.,the house be a three - story home with brick exterior. front room feature bay window. home have two fireplace. roof need upkeep.,georgian home with brick wall. have multi - pane window and roof with dormer. there be a transom window over the front door. home be surround by iron fence.
arch_strong,This is a beautiful brick house. It has white window trim and two white porch extensions. The brick is gray and red. The house is 2 stories with a live in attic space. The house has a beautifully landscaped yard.,This is an 18th century Georgian style brick house. It is a two story brick building with a symmetrical arrangement of windows on the front facade.  The windows are multi-paned with 4 to 12 panes in each window. The roof contains dormers that project vertically from the sloping roof.  The house features a hooded front door and has a gate in the front.,this be a beautiful brick house. it have white window trim and two white porch extension. the brick be gray and red. the house be 2 story with a live in attic space. the house have a beautifully landscape yard.,this be a 18th century georgian style brick house. it be a two story brick build with a symmetrical arrangement of window on the front facade. the window be multi - paned with 4 to 12 pane in each window. the roof contain dormer that project vertically from the slope roof. the house feature a hooded front door and have a gate in the front.
arch_strong,A large square house. It has three stories and a red roof. There are weathering stains in front of the three dormer windows. It has pocket garden windows on either side of the front door. The lawn has a good amount of flowering plants and a small green lawn. The ends of the house have matching chimneys.,The front of the house is flat square. The front door is centered around four large single floor windows and five above. There are three dormers on the roof. It also has the double chimney design on each end of the house. The front yard is small with wrought iron gating.,a large square house. it have three story and a red roof. there be weather stain in front of the three dormer window. it have pocket garden window on either side of the front door. the lawn have a good amount of flower plant and a small green lawn. the end of the house have match chimney.,the front of the house be flat square. the front door be center around four large single floor window and five above. there be three dormer on the roof. it also have the double chimney design on each end of the house. the front yard be small with work iron gate.
arch_strong,Beautiful three story house. Gorgeous landscaping. Lovely brick detail and unique windows. Perfect home to settle down in.,Gorgeous three story brick house. Plenty of windows for natural light. Large yard with trees. Lovely features.,beautiful three story house. gorgeous landscape. lovely brick detail and unique window. perfect home to settle down in.,gorgeous three story brick house. plenty of window for natural light. large yard with tree. lovely feature.
arch_strong,"The house is beautiful, it has a nice flower surrounding it, it is ancient it has a nice lawn","It is beautiful, It has nice trees, it is ancient it has old roofs","the house be beautiful, it have a nice flower surround it, it be ancient it have a nice lawn","it be beautiful, it have nice tree, it be ancient it have old roof"
arch_strong,"This house is made of varying shades of red and brown bricks. It is two stories tall and has an attic.Three large windows adorn the front-facing second floor wall. The house also has two chimneys, on opposing ends of the building. Various shrubbery is planted in front, where a walkway connects it to the road.","This Georgian house appears to be built of grey and brown stone. The facade is five bays across, with four windows on the first floor (and a central door), and five windows on the second floor. It has a pented roof with grey shingles and two chimneys on opposite ends. There are a few bushes and a fence surrounding the building.","this house be make of vary shade of red and brown brick. it be two story tall and have a attic. three large window adorn the front - face 2 floor wall. the house also have two chimney, on oppose end of the build. various shrubbery be plant in front, where a walkway connect it to the road.","this georgian house appear to be build of grey and brown stone. the facade be five bay across, with four window on the first floor ( and a central door ), and five window on the 2 floor. it have a pented roof with grey shingle and two chimney on opposite end. there be a few bush and a fence surround the build."
arch_strong,"This is a lovely old three-story house. It has a nice yard, and is on a nice street. It has a lot of great windows so you have some natural light. It also has two bay windows right out in the front of the house.","This is a Georgian style house. It is made out of brick, and has lots of windows. All of the windows, or bays are symmetrical. It Is a very decorative house.","this be a lovely old three - story house. it have a nice yard, and be on a nice street. it have a lot of great window so you have some natural light. it also have two bay window right out in the front of the house.","this be a georgian style house. it be make out of brick, and have lot of window. all of the window, or bay be symmetrical. it be a very decorative house."
arch_strong,This is a two storey house made out of brick. There are large windows with the entry door in between and smaller windows on the upper floor. There are chimneys on the roof as well as more windows. There is a tree and flowers growing right in front of the house.,This house is built in a Georgian style. It is a two story house that is made out of brick. Windows are placed symmetrically. It also features chimneys and a side-gabled roof.,this be a two storey house make out of brick. there be large window with the entry door in between and small window on the upper floor. there be chimney on the roof as good as much window. there be a tree and flower grow right in front of the house.,this house be build in a georgian style. it be a two story house that be make out of brick. window be place symmetrically. it also feature chimney and a side - gabled roof.
arch_strong,An English cottage with original brick work.  Elegantly landscaped to the era it was built.  Large bay windows in the front of the house and fireplaces in the great room and den.  Windows and front entrance are also true to the times.,A 18th century style Georgian styled home.  Has a period correct hip roof with shaker style shingles and dormer for extra living and storage space. The front of the house is lined with 12 panel windows.  House also has period correct front door with pilasters and decorative cornices.  House is built with 18th century brick and is lined with a wrought iron fence.,a english cottage with original brick work. elegantly landscape to the era it be build. large bay window in the front of the house and fireplace in the great room and den. window and front entrance be also true to the time.,a 18th century style georgian style home. have a period correct hip roof with shaker style shingle and dormer for extra live and storage space. the front of the house be line with 12 panel window. house also have period correct front door with pilaster and decorative cornice. house be build with 18th century brick and be line with a work iron fence.
arch_strong,This is a beautiful three family house. There are two open window floor balconies. many widows and pleanty of room. The outside is filled with nice flowers and a tree. The house is brick layered in old style fasion.,"A typical Georgian house a stone or brick two-story building with a side-gabled roof and a symmetrical arrangement of windows and doors on the front facade.  Many bays (or openings) across with a center door, the style also commonly features a pediment-ed or crowned front entrance bays Seen mostly in Pennsylvania .Old brick English style home.",this be a beautiful three family house. there be two open window floor balcony. many widow and pleanty of room. the outside be fill with nice flower and a tree. the house be brick layer in old style fasion.,"a typical georgian house a stone or brick two - story build with a side - gabled roof and a symmetrical arrangement of window and door on the front facade. many bay ( or open ) across with a center door, the style also commonly feature a pediment - ed or crown front entrance bay see mostly in pennsylvania. old brick english style home."
arch_strong,This is a classic brick home.  The home has two floors. The home has beautiful bay windows. The home has a fully landscaped yard.,This house uses the classic Georgian design. The home is made of brick. This home includes two floors. The home incorporates an elegant symmetrical design.,this be a classic brick home. the home have two floor. the home have beautiful bay window. the home have a fully landscape yard.,this house use the classic georgian design. the home be make of brick. this home include two floor. the home incorporate a elegant symmetrical design.
arch_strong,The house is made of brick and 3 stories high. It's red and grey and surrounded with plants and flowers. The house is large and appears to be square shaped. The house also has 2 chimneys.,The house is a Georgian style home with a symmetrical design. It has an 18th century style design. The home is made of brick and is mostly a brown color with white and red outlining around the windows. It has multi-pane windows and 2 chimneys on each side of the home.,the house be make of brick and 3 story high. it's red and grey and surround with plant and flower. the house be large and appear to be square shape. the house also have 2 chimney.,the house be a georgian style home with a symmetrical design. it have a 18th century style design. the home be make of brick and be mostly a brown color with white and red outline around the window. it have multi - pane window and 2 chimney on each side of the home.
arch_strong,The house has a classic look. It's made out of brick and seems to have a colonial style to it. The landscaping is well maintained. The house has been kept up well and does not look like it needs much repair.,This is a colonial style house. It's made of brick and is well maintained. The home has many features that are similar to the previous house and similar to the style of house built in the 1700's to the 1800's. The roof and window design also look like a colonial style home.,the house have a classic look. it's make out of brick and seem to have a colonial style to it. the landscape be good maintain. the house have be keep up good and do not look like it need much repair.,this be a colonial style house. it's make of brick and be good maintain. the home have many feature that be similar to the previous house and similar to the style of house build in the 1700's to the 1800's. the roof and window design also look like a colonial style home.
arch_strong,It is a beautiful and large brick house. I believe there two stories and a finished attic. Seems to have two fireplaces. Also has a well manicured lawn.,"This is a beautiful Georgian Colonial home. It features many multi pane windows. Also has a side-gabled roof with dormers, and a paneled front door.",it be a beautiful and large brick house. i believe there two story and a finish attic. seem to have two fireplace. also have a good manicure lawn.,"this be a beautiful georgian colonial home. it feature many multi pane window. also have a side - gabled roof with dormer, and a paneled front door."
arch_strong,The house is a big house. It has a red awning. IT also has a lot of windows. And it has a nice front yard.,"This house is big. It has a lot of windows. Kind of looks like home alone, This house makes me sad.",the house be a big house. it have a red awning. it also have a lot of window. and it have a nice front yard.,"this house be big. it have a lot of window. kind of look like home alone, this house make me sad."
arch_strong,"The house is very beautiful and unique looking. The house is made up of different brick styles and has a red color scheme. The house is large with three floors, the third floor is the attack. The plants and bushes around the house are also nice looking.",The building is a brown color scheme with brownish bricks. The building is very symmetrical. The house has three floors. The house has a pedimented door.,"the house be very beautiful and unique look. the house be make up of different brick style and have a red color scheme. the house be large with three floor, the 3 floor be the attack. the plant and bush around the house be also nice look.",the build be a brown color scheme with brownish brick. the build be very symmetrical. the house have three floor. the house have a pedimented door.
arch_strong,The house is made of brick. The house has several levels. The house has a front door. The house is large.,This house is a Georgian Style home. This house is made of brick. This house has a front entrance door. This home has formal classical details.,the house be make of brick. the house have several level. the house have a front door. the house be large.,this house be a georgian style home. this house be make of brick. this house have a front entrance door. this home have formal classical detail.
arch_strong,It appears to be a three-floor colonial. It’s made of grey bricks and has a red roof. There are two white bay windows in the front. The front of the house is also landscaped.,It’s a three story colonial. It is symmetrical in shape. It is built with tan colored bricks and roofing. The front is adorned with white windows. A chimney stands on both sides.,it appear to be a three - floor colonial. it ’ s make of grey brick and have a red roof. there be two white bay window in the front. the front of the house be also landscape.,it ’ s a three story colonial. it be symmetrical in shape. it be build with tan color brick and roof. the front be adorn with white window. a chimney stand on both side.
arch_strong,The house is quaint and homey. The brick and symmetry of the house belies history and character. The house looks suitable for a family. The house looks picturesque,"The house has a cold demeanor. Its symmetric, rectangular shape gives off a somewhat distant loneliness. The front of the house is dominated by 9 windows. the front door stands out",the house be quaint and homey. the brick and symmetry of the house bely history and character. the house look suitable for a family. the house look picturesque,"the house have a cold demeanor. its symmetric, rectangular shape give off a somewhat distant loneliness. the front of the house be dominate by 9 window. the front door stand out"
arch_strong,The house is made of grey and red bricks. The house has three upper levels. The house has two chimneys placed at opposite sides of the house. The house has trim that is white.,This house is traditionally Georgian style. It has five window bays. The roof top is gabled. The entryway is has columns and a hood.,the house be make of grey and red brick. the house have three upper level. the house have two chimney place at opposite side of the house. the house have trim that be white.,this house be traditionally georgian style. it have five window bay. the roof top be gabled. the entryway be have column and a hood.
arch_strong,"The house has rose red and shades of maroon, brown, and grey. The borders of the wall are made of red brick especially around any openings such as windows and doors. The doors and windows are white and open vertically. The left and right sides feature chimney stacks and the walls are mostly grey brick with red brick being the exception on the sides with the chimneys.",This brown home features typical Georgian-style architecture. The house is 3 stories tall. Each side of the roof has symmetrical chimney stacks. The house's windows are symmetrical and feature multiple panes.,"the house have rise red and shade of maroon, brown, and grey. the border of the wall be make of red brick especially around any open such as window and door. the door and window be white and open vertically. the leave and right side feature chimney stack and the wall be mostly grey brick with red brick be the exception on the side with the chimney.",this brown home feature typical georgian - style architecture. the house be 3 story tall. each side of the roof have symmetrical chimney stack. the house's window be symmetrical and feature multiple pane.
arch_strong,"This is a very comfortable house.
It is located in an area that is peaceful and relaxing.
The color scheme for the home is very appealing.
I would love to own a home such as this, or DEFINTELY larger","This house is similar to a Georgian Home    It has 5 Bay windows. It has a hooded front door, and is a lovely home","this be a very comfortable house. it be locate in a area that be peaceful and relax. the color scheme for the home be very appeal. i would love to own a home such as this, or defintely large","this house be similar to a georgian home it have 5 bay window. it have a hooded front door, and be a lovely home"
arch_strong,"It's an old fashion house. Has a little garden. The house has a very generous size, probably a duplex. The house is mainly colored red.",This is a Georgian style home. The house is located in a cozy neighborhood. It also has a little garden. Two big trees are positioned at each end of the house,"it's a old fashion house. have a little garden. the house have a very generous size, probably a duplex. the house be mainly color red.",this be a georgian style home. the house be locate in a cozy neighborhood. it also have a little garden. two big tree be position at each end of the house
arch_strong,"It's an old house, but well cared for. The roof is red and looks slightly weathered, but in a charming way. Its large, but not intensely so, more in a quaint way. The landscaping is very well laid out.","I'm pretty sure this is also a Georgian style house because of the window symmetry. There are also multiple dormers coming from the roof. The front door is ornate with a transom over the top of it. There is also some decoration around the front gutter/roof line, not sure exactly what that is called.","it's a old house, but good care for. the roof be red and look slightly weather, but in a charm way. its large, but not intensely so, much in a quaint way. the landscape be very good lie out.","i'm pretty sure this be also a georgian style house because of the window symmetry. there be also multiple dormer come from the roof. the front door be ornate with a transom over the top of it. there be also some decoration around the front gutter / roof line, not sure exactly what that be call."
arch_strong,It is an old brick house.  Has a path in the front.  It has two large bay windows.  It has three stories.,It is an old brick house.  It has three stories.  It does not have any bay windows.  It does have a large number of symmetrically arranged windows.,it be a old brick house. have a path in the front. it have two large bay window. it have three story.,it be a old brick house. it have three story. it do not have any bay window. it do have a large numb of symmetrically arrange window.
arch_strong,"The house was built from gray stone with red brick trimmings. Its windows were composite, made from sixteen smaller panes of glass, giving the place an old-fashioned feeling. A bed of roses marched along its base and ivy covered the far side, tumbling down in a tangled mess of vines. A couple shrubs lined the path leading to the front door and a wider lawn extended out to the street.","The house seemed somehow desolate and empty, like the empty skin left after a snake molts. Two rows of rectangular windows covered the front, one row for each story. The front door was arched and set into the wall, with a small overhanging eave. A spiked metal fence, painted black, surrounded the place. There was no garden or lawn, in fact, there were barely any plants at all.","the house be build from gray stone with red brick trim. its window be composite, make from sixteen small pane of glass, give the place a old - fashion feel. a bed of rise march along its base and ivy cover the far side, tumble down in a tangle mess of vine. a couple shrub line the path lead to the front door and a wide lawn extend out to the street.","the house seem somehow desolate and empty, like the empty skin leave after a snake molt. two row of rectangular window cover the front, one row for each story. the front door be arch and set into the wall, with a small overhang eave. a spike metal fence, paint black, surround the place. there be no garden or lawn, in fact, there be barely any plant at all."
arch_strong,Nice brick house. Color looks pretty nice. I like the size good middle class family home. Probably a half million or so for this house I would guess depending on the location.,"This home is huge! I like it is similar to the previous house but maybe 2 more bedrooms or so. Can't even guess on the cost of this one, must be up north somewhere based on the trees.",nice brick house. color look pretty nice. i like the size good middle class family home. probably a half million or so for this house i would guess depend on the location.,"this home be huge! i like it be similar to the previous house but maybe 2 much bedroom or so. can't even guess on the cost of this one, must be up north somewhere base on the tree."
arch_strong,"It's a really nice, large brick house with different colored bricks providing accents. The first floor has two bay windows in front; there are three front-facing windows on the second floor and three dormer windows in the attic. There's discoloration on the roof, and I'm not sure why. There's some kind of aerial on the roof. The house has two chimneys, one on each end. It's hard to see how far back the house goes, but it looks sizeable. Shrubs and red flowers are planted out front, with a couple of grassy areas, too; looks like the back yard has trees.","It seems to follow the description of a Georgian-style home. It is a brick building with symmetrically placed, multipane windows. The front door is in the center and has transom window; there's a shallow roof over it. There are three symmetrical dormers. The roof is sloped and has side gables.","it's a really nice, large brick house with different color brick provide accent. the first floor have two bay window in front; there be three front - face window on the 2 floor and three dormer window in the attic. there's discoloration on the roof, and i'm not sure why. there's some kind of aerial on the roof. the house have two chimney, one on each end. it's hard to see how far back the house go, but it look sizeable. shrub and red flower be plant out front, with a couple of grassy area, too; look like the back yard have tree.","it seem to follow the description of a georgian - style home. it be a brick build with symmetrically place, multipane window. the front door be in the center and have transom window; there's a shallow roof over it. there be three symmetrical dormer. the roof be slope and have side gable."
arch_strong,This is a beautiful home that is very traditional and well-kept up. There are wide windows to let sun in and there is a very welcoming front to the house. This is also a brick facade that gives the house a real majestic look. There is a very manidcured landscaping that oges well with the house.,This is a nice home that has a welcoming front that has nice open windows There is also a nice front door that will grab everyone's attention. It also has nice trees to give a nice traditonal look. It is certainly a nice house for a growing family.,this be a beautiful home that be very traditional and good - keep up. there be wide window to let sun in and there be a very welcome front to the house. this be also a brick facade that give the house a real majestic look. there be a very manidcured landscape that oges good with the house.,this be a nice home that have a welcome front that have nice open window there be also a nice front door that will grab everyone's attention. it also have nice tree to give a nice traditonal look. it be certainly a nice house for a grow family.
arch_strong,The house looks like it may be English in architecture. It has 8 windows. It seems to have two fireplaces as two chimneys are visible. There is sort of English garden feel to the landscaping.,The house has 12 windows. The windows are multi-paned. The roof is sloped. The house looks like it could be made of stone.,the house look like it may be english in architecture. it have 8 window. it seem to have two fireplace as two chimney be visible. there be sort of english garden feel to the landscape.,the house have 12 window. the window be multi - paned. the roof be slope. the house look like it can be make of stone.
arch_strong,This appears to be an older house with a lot of charm.  It looks to have a slate roof and brick exterior.  The landscaping is well manicured and taken care of.  There are several windows on all three floor of the house.  It looks like there are at least two fireplaces in the house.,This house appears to follow the Georgian style.  It is a brick two-story home with a 5-bay front design.  It is very symmetrical and has dormer windows on the roof.  It also has a crowned front entrance in the middle.,this appear to be a old house with a lot of charm. it look to have a slate roof and brick exterior. the landscape be good manicure and take care of. there be several window on all three floor of the house. it look like there be at little two fireplace in the house.,this house appear to follow the georgian style. it be a brick two - story home with a 5 - bay front design. it be very symmetrical and have dormer window on the roof. it also have a crown front entrance in the middle.
arch_strong,The house looks like a home from England. It has beautiful red brick and nice landscaping. It does not seem to have a garage but looks like it has a decent sized yard. I would like to live there!,It appears to be a house in Pennsylvania of Gregorian descent. It has a pent in the rouse between the second and third stories and appears to have five panes of glass above the door which if remember correctly also denotes the Gregorian style. It has a black iron fence surrounding the front of the mouse. The house has no visible driveway or front yard with only a sidewalk in front of it.,the house look like a home from england. it have beautiful red brick and nice landscape. it do not seem to have a garage but look like it have a decent size yard. i would like to live there!,it appear to be a house in pennsylvania of gregorian descent. it have a pen in the rouse between the 2 and 3 story and appear to have five pane of glass above the door which if remember correctly also denote the gregorian style. it have a black iron fence surround the front of the mouse. the house have no visible driveway or front yard with only a sidewalk in front of it.
arch_strong,"The house is an exquisite brick building with many charming features. The primary brick color is gray, but it is accented with red brick around the windows and the sides of the home. The red brick is also complemented by the red shingled roof (which has three protruding windows). The front of the home also features a lovely garden and two large, windowed areas that jut out from the home.","This is a charming Georgian-style home, made of brown brick. The roof has parapet-like structures as well as three dormers that are symmetrically placed (a defining style of the Georgian architecture). Because Georgian homes were the first homes to branch off and explore architectural design, the front door has a lovely arch-like design around it. There are also 9 symmetrically placed windows on the building. Overall, it is a very classic home remniscent of colonial America.","the house be a exquisite brick build with many charm feature. the primary brick color be gray, but it be accent with red brick around the window and the side of the home. the red brick be also complement by the red shingle roof ( which have three protrude window ). the front of the home also feature a lovely garden and two large, window area that jut out from the home.","this be a charm georgian - style home, make of brown brick. the roof have parapet - like structure as good as three dormer that be symmetrically place ( a define style of the georgian architecture ). because georgian home be the first home to branch off and explore architectural design, the front door have a lovely arch - like design around it. there be also 9 symmetrically place window on the build. overall, it be a very classic home remniscent of colonial america."
arch_strong,"This house is a classic build and not a modern design. The current homeowner spends time with the landscaping, preferring a large amount of flowers on display. The house is constructed of brick and wood. If I had to guess it was a British home or at least a British design.","This home is a Georgian style construction, heavily influenced by British design. While the home may be located in the United States, it's a product of Britain and British design. The two-story stone build has a symmetrical design with a central entrance and the same number of windows on either side of door. The windows are white and multi-paned, common in a Georgian design.","this house be a classic build and not a modern design. the current homeowner spend time with the landscape, prefer a large amount of flower on display. the house be construct of brick and wood. if i have to guess it be a british home or at little a british design.","this home be a georgian style construction, heavily influence by british design. while the home may be locate in the unite state, it's a product of britain and british design. the two - story stone build have a symmetrical design with a central entrance and the same numb of window on either side of door. the window be white and multi - paned, common in a georgian design."
arch_strong,"This house is idealistic for someone wanting country living.
This house has amazing appeal to someone looking for a cottage.
The beauty of this house is found in the stone work and country inspired design.
This house invites you in with warmth and heritage that can only be found in a truly country inspired design.","This house is historic and charming.
This house appeals to someone who would love to live in England.
From the view of the 3rd story to the charming English garden surround, this house has every element you would want for country living.
This house is elegant and distinguished.",this house be idealistic for someone want country live. this house have amaze appeal to someone look for a cottage. the beauty of this house be find in the stone work and country inspire design. this house invite you in with warmth and heritage that can only be find in a truly country inspire design.,"this house be historic and charm. this house appeal to someone who would love to live in england. from the view of the 3rd story to the charm english garden surround, this house have every element you would want for country live. this house be elegant and distinguish."
arch_strong,This is a two story house with a garden out front. It has bay windows and a brick exterior. It also appears to have an attic above the second floor. The front door is bricked in with an arched walkway.,"This is a two story Georgian style house with an attic. It has a symmetrical layout for its windows and doors. The house's exterior is brick, and it has a wrought iron gate in front of it. The roof has a very steep slope, with windows built into it.",this be a two story house with a garden out front. it have bay window and a brick exterior. it also appear to have a attic above the 2 floor. the front door be brick in with a arch walkway.,"this be a two story georgian style house with a attic. it have a symmetrical layout for its window and door. the house's exterior be brick, and it have a work iron gate in front of it. the roof have a very steep slope, with window build into it."
arch_strong,This house has great curb appeal. The landscaping is very simple but nice. It has two stories and an attic. It is brick with white windows.,This is a Georgian house. It has two stories. It has symettrical windows and doors. It is made of brick.,this house have great curb appeal. the landscape be very simple but nice. it have two story and a attic. it be brick with white window.,this be a georgian house. it have two story. it have symettrical window and door. it be make of brick.
arch_strong,Double chimneys are good. Great looking bay windows. nice frontage on the street side. Yard is very maintainable.,It is an older style house. Has plenty of windows. Nice trees in the front yard. Nice maintainable house to upkeep.,double chimney be good. great look bay window. nice frontage on the street side. yard be very maintainable.,it be a old style house. have plenty of window. nice tree in the front yard. nice maintainable house to upkeep.
arch_strong,"It looks like it's well kept. The landscaping seems well cared for. It's actually quite aesthetic, although built some time ago. There seem to be [at least] two fireplaces within.","This is, once again, a Georgian style house. The vertical symmetry is apparent, as the last one, but this house has five windows on top, instead of three. There is a center front door, with a window above. And, again, I notice the two chimneys adding to the symmetry.","it look like it's good keep. the landscape seem good care for. it's actually quite aesthetic, although build some time ago. there seem to be [ at little ] two fireplace within.","this be, once again, a georgian style house. the vertical symmetry be apparent, as the last one, but this house have five window on top, instead of three. there be a center front door, with a window above. and, again, i notice the two chimney add to the symmetry."
